model,price,mileage,used/certified,deal,Ext Color,Int Color,Trans,Drivetrain,Dealership,miles from Durham
2014 Toyota Corolla S,"$11,995 ","44,106",USED,GOOD DEAL,Silver,BLACK,AUTOMATIC,FWD,Maximum Auto Outlet,207
2014 Toyota Corolla S Plus,"$12,984 ","46,540",USED,GREAT DEAL,Black Sand,Black,6-Speed Manual,FWD,Urse Honda,240
2014 Toyota Corolla S Premium,"$13,962 ","50,518",USED,FAIR PRICE,Black,Black,Automatic CVT,FWD,Sheehy Nissan Of Mechanicsville,141
2014 Toyota Corolla,"$13,990 ","51,670",USED,FAIR PRICE,Barcelona Red Metallic,Black,,FWD,Fred Anderson Toyota of Asheville,209
2014 Toyota Corolla S PLUS,"$14,995 ","55,759",CERTIFIED,GOOD DEAL,Barcelona Red Met.,Black,Continuously Variable Transmission,,Toyota of Greer,198
2014 Toyota Corolla S,"$11,841 ","57,332",USED,GOOD DEAL,Red,Black,4-Speed Automatic,FWD,Apex Imports,17
2014 Toyota Corolla S Plus,"$11,595 ","58,414",USED,GREAT DEAL,White,Black,Automatic CVT,FWD,Off Lease Auto Center,128
2014 Toyota Corolla LE Premium,"$13,450 ","60,625",USED,FAIR PRICE,Black,Black,AUTO,Front Wheel Drive,Jason Ross Auto Sales,32
2014 Toyota Corolla S,"$12,495 ","60,988",USED,GOOD DEAL,Slate Metallic,Black,Automatic CVT,FWD,Classic Toyota of Wilkesboro,127
2014 Toyota Corolla S,"$11,990 ","62,086",USED,GOOD DEAL,Barcelona Red Metallic,Black,1-Speed CVT w/OD,Front Wheel Drive,Hardee Auto Sales,146
2014 Toyota Corolla S,"$12,950 ","62,736",USED,GOOD DEAL,White,Black,Automatic CVT,FWD,East Main Auto Sales,245
2014 Toyota Corolla S,"$10,995 ","64,129",USED,GREAT DEAL,Burgundy,Black,Automatic CVT,FWD,Cary Auto Sales,15
2014 Toyota Corolla S,"$11,995 ","64,247",USED,GOOD DEAL,Dark Blue Metallic,Black,Automatic CVT,FWD,Adams Auto Group,116
2014 Toyota Corolla LE,"$12,499 ","65,116",USED,GOOD DEAL,Classic Silver Metallic,Black,Automatic CVT,FWD,JT Automart,43
2014 Toyota Corolla LE Premium,"$11,700 ","66,007",USED,FAIR PRICE,Red,Black,Automatic CVT,FWD,Swartz Auto Sales,166
2014 Toyota Corolla S Plus,"$12,646 ","68,035",USED,GOOD DEAL,Slate Metallic,Black,4-Speed Automatic,FWD,Keffer Hyundai,118
2014 Toyota Corolla S,"$11,690 ","73,321",USED,GOOD DEAL,Barcelona Red Metallic,Black,4-Speed Automatic,FWD,Nissan of Bowie,234
2014 Toyota Corolla S,"$11,500 ","75,974",USED,GREAT DEAL,Slate Metallic,Black,4-Speed Automatic,FWD,Bayside Nissan,242
2014 Toyota Corolla S Premium,"$9,790 ","81,060",USED,GREAT DEAL,Barcelona Red Metallic,Black,Automatic CVT,FWD,Mercedes-Benz of Tysons Corner,221
2014 Toyota Corolla S Plus,"$14,999 ","82,250",USED,,Super White,Black,Automatic CVT,FWD,Kevin Powell Foothill Ford,93
2014 Toyota Corolla S,"$11,000 ","82,766",USED,GOOD DEAL,Barcelona Red Metallic,Black,Automatic CVT,FWD,CarLotz Charlotte,118
2014 Toyota Corolla S,"$11,225 ","82,935",USED,GOOD DEAL,Silver,Black,Automatic CVT,FWD,The Trading Post,132
2014 Toyota Corolla,"$10,950 ","83,105",USED,GOOD DEAL,Black,Black,Automatic,FWD,40/42 Motorsports,34
2014 Toyota Corolla LE Plus,"$9,995 ","83,384",USED,GREAT DEAL,Black Sand Mica,Black,,Front Wheel Drive,United Auto Sales,142
2014 Toyota Corolla S,"$10,750 ","84,095",USED,GOOD DEAL,Super White,Black,Automatic CVT,FWD,Rocky Mount Toyota,60
2014 Toyota Corolla S Plus,"$12,988 ","92,337",USED,GOOD DEAL,Slate Metallic,Black,4-Speed Automatic,FWD,CBS Quality Cars,4
2014 Toyota Corolla S,"$9,900 ","100,149",USED,GOOD DEAL,Super White,Black,6-Speed Manual,FWD,Impex Auto Sales,52
2014 Toyota Corolla S,"$11,999 ","104,601",USED,FAIR PRICE,Super White,Black,Automatic CVT,FWD,Bryan Easler Toyota,204
2014 Toyota Corolla LE Premium,"$9,496 ","116,154",USED,GOOD DEAL,Black Sand Mica,Black,CVT,Front Wheel Drive,Henderson Toyota,33
2014 Toyota Corolla S Plus,"$13,350 ","64,702",USED,GOOD DEAL,Barcelona Red,Charcoal Gray,Automatic CVT,FWD,40/42 Motorsports,34
2014 Toyota Corolla L GRADE,"$12,990 ","43,494",CERTIFIED,GREAT DEAL,Super White,Dark Gray,4 Speed Elect Controled Auto Transmission,,Ralph Hayes Toyota,235
